win_i,t_mid,absC4_REAL,absC4_EMSWAP,mad_REAL,mad_EMSWAP,base_exp_rmse_amp,base_exp_rmse_rmse,emswap_worse_absC4,emswap_worse_mad
0,0.5,0.0952039812202348,0.09668535927991048,0.12530243026196786,0.08990615429835824,0.0033850718355400056,0.003778758494976023,True,False
1,1.0,0.0952039812202348,0.09668535927991048,0.06578487057709961,0.09668536027991056,0.006487928855010006,0.002475471591572737,True,True
2,2.0,0.14066883868282262,0.04486981617584557,0.11124972803968744,0.04486981717584565,0.005065673478406106,0.002150792858935094,False,False
3,5.0,0.14066883868282262,0.04486981617584557,0.09809092004852293,0.038090611194293335,0.001835145655573839,0.002253554689625893,False,False
4,10.0,0.16275801061481626,0.2410079645390499,0.0760017481165293,0.19613814836320434,0.0021717171525036816,0.0020549698166685937,True,True
5,20.0,0.16275801061481626,0.34699066267073997,0.056146396376613505,0.3734976872472577,0.0012888194756609061,0.0014374517240751824,True,True
6,40.0,0.23875975873134556,0.5975627371574805,0.15423731642513644,0.9445533998282205,0.005451623337296726,0.0077608949237237546,True,True
