domain,case,sig1,sig2,circR_real,phase_null_mean,block_null_mean,null_gap,verdict,outdir
bearing,normal,DE,FE,0.04376356935185736,0.03531773534388713,0.004903714993674367,0.008445834007970228,FAIL,.\results\v2_crossdomain\bearing_normal_DE_FE
bearing,fault,DE,FE,0.006229260864558129,0.005352660680292891,0.0023789265225830896,0.0008766001842652384,FAIL,.\results\v2_crossdomain\bearing_fault_DE_FE
wind,P_TP,P,TP,0.11673169800129055,0.02849029804284161,0.026184614251063523,0.08824139995844893,PASS_STRONG,.\results\v2_crossdomain\wind_P_TP
wind,P_WS,P,WS,0.13132726924290866,0.02897214055312773,0.023313779606746216,0.10235512868978093,PASS_STRONG,.\results\v2_crossdomain\wind_P_WS
grid,Fdet_dF,F_det,dF,0.017926534633072467,0.006256555774640877,0.0063963271795655485,0.01166997885843159,PASS_STRONG,.\results\v2_crossdomain\grid_Fdet_dF
