dataset,direction,verdict,kpsi_median,kpsi_mean,phase_p_two,block_p_two,rev_median,rev_pass
bn100325275,forward,NO_CLEAR,0.0504585084484528,-1.1835659257435111e-11,0.003992015968063872,0.6307385229540918,0.014660813531289963,True
bn100325275,reversed,NO_CLEAR,0.014660813531289963,-9.855566457101796e-12,0.003992015968063872,0.8702594810379242,0.0504585084484528,False
bn120304061,forward,NO_CLEAR,-0.013171739819736995,-6.377960699260095e-12,0.003992015968063872,0.6067864271457086,0.03590421056099289,False
bn120304061,reversed,NO_CLEAR,0.035904227771693,1.9290532346108843e-11,0.003992015968063872,0.8183632734530938,-0.013171370498492397,True
bn230116575,forward,NO_CLEAR,0.01820004556362885,-3.1787878579381254e-11,0.003992015968063872,0.846307385229541,0.015028811478066346,True
bn230116575,reversed,NO_CLEAR,0.015028811478066346,-9.06009989254386e-12,0.003992015968063872,0.8702594810379242,0.01820004556362885,False
grb130427324,forward,NO_CLEAR,0.047368592858624936,-3.6599142985202983e-13,0.003992015968063872,0.7345309381237525,0.040916990439238216,True
grb130427324,reversed,NO_CLEAR,0.040916814230696874,-9.784746240070678e-13,0.003992015968063872,0.8063872255489022,0.04736854061949671,False
